indicateur,N,moyenne,ecart_type,mediane,P01,P05,P25,P75,P95,P99,Min,Max,Seuil_Alerte_Bas,Seuil_Alerte_Haut,Seuil_Critique_Bas,Seuil_Critique_Haut
MASI Rendement (%),246,0.09371632759913744,0.8709756147917881,0.10261175361956365,-2.2342154213298264,-1.3394234770349123,-0.3376506924181094,0.5328771570835888,1.6178982765016559,2.501587884510615,-2.6450364419932426,3.162831574817382,-1.6482349019844387,1.8356675571827137,-2.519210516776227,2.7066431719745014
MASI Volatilité 20j (%),237,0.8135581406607577,0.30950963013889116,0.7614556761921955,0.391226482997194,0.4381600288200737,0.5518225878691542,1.0057405904936758,1.503597041910201,1.672804918897171,0.37448159137378534,1.7025759233989177,0.1945388803829754,1.43257740093854,-0.11497074975591581,1.7420870310774312
Volume Relatif Marché,243,1.0319265926034524,0.602332372169409,0.916500756032961,0.25590229820441296,0.3222522688892682,0.6365314255349198,1.2895433712209416,1.955537088367436,2.799345498181728,0.13616899816806508,5.683824761686158,-0.17273815173536566,2.2365913369422703,-0.7750705239047746,2.8389237091116795
Breadth (% hausse),247,38.4399798041888,13.388746279594965,37.83783783783784,8.613333333333333,16.43835616438356,30.464912280701753,47.2972972972973,59.79178082191779,69.22594594594592,0.0,77.02702702702703,11.662487244998871,65.21747236337873,-1.7262590345960902,78.60621864297369
HHI Concentration,247,0.10463550521440709,0.06901107989456164,0.0803060655084912,0.05007090841181099,0.05792445888594286,0.06965186073204843,0.10826309876973102,0.22994480631694364,0.4027278340423013,0.04979031104128534,0.6181303468981588,-0.03338665457471618,0.24265766500353037,-0.10239773446927783,0.31166874489809204
Rendement (%),18319,0.14669264033913884,2.513396403437528,0.0,-6.442884727269655,-3.6144578313253017,-0.8188198734628505,0.9072184429327224,4.709386006663488,9.913994713108382,-9.997664097173564,9.998923689592075,-4.880100166535917,5.173485447214195,-7.393496569973445,7.686881850651723
Volatilité 5j (%),18165,1.9818755546045972,1.485544856629124,1.6842183618369286,0.0,0.01969156898221101,0.9496563106343233,2.6650810196945165,4.879774715482767,6.970878721631145,0.0,10.947070618692226,-0.9892141586536509,4.9529652678628455,-2.4747590152827748,6.43851012449197
Volatilité 20j (%),17626,2.222162714261068,1.1305746241870274,2.0018966311185156,0.0980731569078812,0.7999318335539138,1.4533750424222367,2.787113989105972,4.31197548508545,5.749742136796891,0.0,8.868724260757398,-0.03898653411298669,4.483311962635122,-1.1695611583000138,5.61388658682215
Volume Relatif,15793,1.0365981573600205,1.5489453606182038,0.504161440356738,0.003634854515019328,0.022016928463260307,0.17484305907975037,1.227473647185951,3.880411580084081,7.855601500442483,0.0003059172792023024,18.690734464601807,-2.0612925638763873,4.134488878596428,-3.610237924494591,5.683434239214632
Turnover Ratio,16172,0.0010500838495433968,0.003123691215917324,0.00022000916044309955,4.858054922254118e-07,2.2935779816513764e-06,4.5653811407136323e-05,0.0008146990187386579,0.004442853328784685,0.013877158378787956,3.6190566494556396e-08,0.13068414100995726,-0.005197298582291251,0.007297466281378045,-0.008320989798208576,0.010421157497295368
Spread Bid-Ask (%),17787,3.987498441110574,4.124291545091435,2.8914348063284194,0.210520112109362,0.6091227673664653,1.6814159292035424,4.795317634173056,10.997765512181303,23.7006237006237,0.0,50.62240663900415,-4.261084649072295,12.236081531293443,-8.38537619416373,16.360373076384878
Range Journalier (%),16172,2.531320759878591,2.2901726139971452,2.158273381294962,0.0,0.0,0.9082344006871731,3.4805791870757066,6.941838649155723,10.2079553857771,0.0,19.98539689162407,-2.0490244681156993,7.111665987872882,-4.339197082112845,9.401838601870027
RSI 14j,17519,49.67799523719807,6.625813813910058,50.0,31.57494812005481,39.740798756963294,46.961126013141474,52.70017804758763,59.04315306433945,66.05538708436127,0.0,99.7733032614515,36.42636760937795,62.92962286501819,29.80055379546789,69.55543667892825
OIR (Order Imbalance Ratio),1549,0.24553251341592314,0.6801090595122736,0.35436180053011634,-0.9879588933465078,-0.9293928578842564,-0.3333333333333333,0.9565217391304348,1.0,1.0,-0.9994436003338398,1.0,-1.114685605608624,1.6057506324404704,-1.7947946651208977,2.285859691952744
OAR (Order Arrival Rate),1342,118.49579823550917,1585.0183213799148,6.565273668639055,0.6968835057158411,1.148601398601399,3.1757332459446177,14.865816002179637,57.14733563096508,738.3931296345788,0.33426183844011137,39933.333333333234,-3051.5408445243206,3288.5324409953387,-4636.559165904236,4873.550762375254
Volatilité Intraday (%),1467,0.8882330170690222,0.8337755787229817,0.7344111882126448,0.0,0.0,0.350522430632752,1.191125558687571,2.3029066136259932,3.8116897397001313,0.0,9.14676030633803,-0.7793181403769411,2.5557841745149856,-1.6130937190999228,3.3895597532379673
Nb Transactions,1549,130.23434473854098,816.674805343428,27.0,1.0,1.0,8.0,72.0,294.39999999999964,1340.719999999999,1.0,19031.0,-1503.115265948315,1763.583955425397,-2319.790071291743,2580.258760768825
VWAP Déviation (%),1549,-0.10440384691311555,1.2105132235588998,0.0,-3.94969734118939,-2.0708601058301075,-0.544855110185668,0.4334689850783142,1.4355134616934282,2.5970331517180143,-7.961174242424248,13.350160852956746,-2.5254302940309152,2.316622600204684,-3.735943517589815,3.5271358237635835
