Niveau,Methode_ML,ML_Score,IF_Score,AE_ReconError,IF_Severity,AE_Severity,ML_Severity,Jour,Ticker
Instrument,IF+AE,56.2,0.9257759045526842,0.026019207504430902,Critique,Critique,Faible,2025-04-24,S2M
Instrument,IF+AE,55.9,0.9053533555296052,0.06132718457191756,Critique,Critique,Faible,2025-07-11,INV
Instrument,IF+AE,55.8,0.915379088537432,0.03586595798316385,Critique,Critique,Faible,2025-06-20,INV
Instrument,IF+AE,55.5,0.7824481962338614,0.3320324639615168,Critique,Critique,Faible,2025-12-29,GTM
Instrument,IF+AE,55.5,0.9202001403494652,0.011521861431414399,Critique,Modéré,Faible,2025-07-03,INV
Instrument,IF+AE,55.3,0.8965766844522985,0.059698922537041725,Critique,Critique,Faible,2025-07-14,STR
Instrument,IF+AE,55.3,0.918044060110322,0.008603284137800982,Critique,Faible,Faible,2025-06-24,STR
Instrument,IF+AE,55.3,0.8790435220010908,0.09979139637738083,Critique,Critique,Faible,2025-06-25,STR
Instrument,IF+AE,55.2,0.8806465346673391,0.09387408259171212,Critique,Critique,Faible,2025-03-19,SNA
Instrument,IF+AE,55.0,0.8924086835967058,0.05822872235968776,Critique,Critique,Faible,2025-07-03,FBR
Instrument,IF+AE,54.9,0.9025078708801474,0.030115074194147155,Critique,Critique,Faible,2025-07-14,IBC
Instrument,IF+AE,54.8,0.8834118166172861,0.06816173009119773,Critique,Critique,Faible,2025-07-04,STR
Instrument,IF+AE,54.3,0.866309966141002,0.08923612005096843,Critique,Critique,Faible,2025-04-23,S2M
Instrument,IF+AE,54.3,0.8958710714258158,0.022677175396856968,Critique,Critique,Faible,2025-10-07,STR
Instrument,IF+AE,54.2,0.8478550800178164,0.13008547044636967,Critique,Critique,Faible,2025-12-25,GTM
Instrument,IF+AE,54.1,0.7582302277816604,0.3343028796886282,Critique,Critique,Faible,2025-08-04,INV
Instrument,IF+AE,54.1,0.8944229473038628,0.018573116942271692,Critique,Modéré,Faible,2025-03-26,SNA
Instrument,IF+AE,54.1,0.8877258929572088,0.032957394462319795,Critique,Critique,Faible,2025-07-14,INV
Instrument,IF+AE,53.9,0.8819774519715928,0.03677137172455,Critique,Critique,Faible,2025-02-25,FBR
Instrument,IF+AE,53.6,0.8667106355288597,0.0632889798197388,Critique,Critique,Faible,2025-07-11,IBC
Instrument,IF+AE,53.5,0.855603966545781,0.08289149277092372,Critique,Critique,Faible,2025-06-17,STR
Instrument,IF+AE,53.5,0.824731619019198,0.15727367298705938,Critique,Critique,Faible,2025-06-25,INV
Instrument,IF+AE,53.5,0.8877431511654281,0.008359281614259998,Critique,Faible,Faible,2025-06-10,STR
Instrument,IF+AE,53.3,0.8326878740925542,0.13075632403927198,Critique,Critique,Faible,2025-12-24,GTM
Instrument,IF+AE,53.3,0.8841997870337315,0.008797293698643998,Critique,Faible,Faible,2025-03-18,SNA
Instrument,IF+AE,53.2,0.8021871056171601,0.19911207261304786,Critique,Critique,Faible,2025-07-23,VCN
Instrument,IF+AE,53.1,0.8759285947151959,0.021219374455977085,Critique,Critique,Faible,2025-03-17,FBR
Instrument,IF+AE,53.1,0.8813409710301607,0.00833246869038606,Critique,Faible,Faible,2025-01-17,RDS
Instrument,IF+AE,53.1,0.882703311433063,0.006106850451607354,Critique,Faible,Faible,2025-06-23,STR
Instrument,IF+AE,52.9,0.8766751859137399,0.013300301888667543,Critique,Modéré,Faible,2025-03-20,STR
Instrument,IF+AE,52.9,0.8723180951312508,0.021608110662990822,Critique,Critique,Faible,2025-10-08,STR
Instrument,IF+AE,52.8,0.8770506144412612,0.007290469544766097,Critique,Faible,Faible,2025-02-27,FBR
Instrument,IF+AE,52.7,0.8541369070887527,0.056792210047197304,Critique,Critique,Faible,2025-07-02,FBR
Instrument,IF+AE,52.7,0.8708452191187857,0.017252203662436322,Critique,Modéré,Faible,2025-06-25,IBC
Instrument,IF+AE,52.7,0.8485557012742246,0.07076463650699603,Critique,Critique,Faible,2025-03-14,FBR
Instrument,IF+AE,52.6,0.8661381929919996,0.025769204074851924,Critique,Critique,Faible,2025-08-13,DYT
Instrument,IF+AE,52.6,0.8727097710982046,0.0073762061874889035,Critique,Faible,Faible,2025-07-04,IBC
Instrument,IF+AE,52.5,0.8654043639207718,0.02172744532936576,Critique,Critique,Faible,2025-07-07,STR
Instrument,IF+AE,52.4,0.8661126967183136,0.018395738462787428,Critique,Modéré,Faible,2025-08-15,COL
Instrument,IF+AE,52.3,0.8654266775271656,0.01562306354529408,Critique,Modéré,Faible,2025-10-06,STR
Instrument,IF+AE,52.2,0.8678933304438246,0.006673513155520058,Critique,Faible,Faible,2025-07-08,STR
Instrument,IF+AE,51.7,0.8608589088265527,0.0038359144259982056,Critique,Faible,Faible,2025-02-24,FBR
Instrument,IF+AE,51.7,0.7960823531308392,0.1520516589262931,Critique,Critique,Faible,2025-07-02,IBC
Instrument,IF+AE,51.7,0.8435542000137558,0.040687152266721954,Critique,Critique,Faible,2025-08-29,FBR
Instrument,IF+AE,51.5,0.8560722658283073,0.005069407813627778,Critique,Faible,Faible,2025-07-02,SRM
Instrument,IF+AE,51.5,0.8431563433844751,0.0363018695935503,Critique,Critique,Faible,2025-03-19,FBR
Instrument,IF+AE,51.4,0.8511786804737054,0.01243320993045945,Critique,Modéré,Faible,2025-06-18,INV
Instrument,IF+AE,51.4,0.8046293440404159,0.12314492246267683,Critique,Critique,Faible,2025-12-23,GTM
Instrument,IF+AE,51.3,0.8494356813521109,0.01122817094112121,Critique,Modéré,Faible,2025-07-15,INV
Instrument,IF+AE,51.3,0.8527107159809365,0.006873316860625743,Critique,Faible,Faible,2025-06-06,STR
Instrument,IF+AE,51.2,0.8320650121754558,0.049682588584710266,Critique,Critique,Faible,2025-06-23,INV
Instrument,IF+AE,51.2,0.8415029811462579,0.026710633673240582,Critique,Critique,Faible,2025-10-30,INV
Instrument,IF+AE,51.1,0.8184197132188831,0.07683609752467596,Critique,Critique,Faible,2025-03-26,STR
Instrument,IF+AE,50.9,0.8318014771040915,0.03964656497973097,Critique,Critique,Faible,2025-10-28,INV
Instrument,IF+AE,50.9,0.8047778275059544,0.10287895115928128,Critique,Critique,Faible,2025-06-26,INV
Instrument,IF+AE,50.8,0.835973957469542,0.023464411029528422,Critique,Critique,Faible,2025-08-18,NKL
Instrument,IF+AE,50.6,0.7813674877774247,0.14536361660333785,Critique,Critique,Faible,2025-07-24,VCN
Instrument,IF+AE,50.5,0.8154200274533854,0.062100682866132656,Critique,Critique,Faible,2025-06-26,IBC
Instrument,IF+AE,50.5,0.8307038946574684,0.02689070726340004,Critique,Critique,Faible,2025-11-03,INV
Instrument,IF+AE,50.4,0.8013211263974168,0.09020004219988581,Critique,Critique,Faible,2025-07-15,STR
Instrument,IF+AE,50.4,0.831308407196905,0.021361933621108373,Critique,Critique,Faible,2025-09-01,SNA
Instrument,IF+AE,50.3,0.832443914113804,0.015060469896625064,Critique,Modéré,Faible,2025-09-02,SNA
Instrument,IF+AE,50.3,0.8312887256874927,0.018130455799174765,Critique,Modéré,Faible,2025-08-11,COL
Instrument,IF+AE,50.2,0.8263771010899436,0.022585408293313222,Critique,Critique,Faible,2025-07-07,MDP
Instrument,IF+AE,50.1,0.8303851275120027,0.011516365813382171,Critique,Modéré,Faible,2025-06-26,SRM
Instrument,IF+AE,50.1,0.8280756404284257,0.016717108435777263,Critique,Modéré,Faible,2025-07-08,INV
Instrument,IF+AE,50.0,0.8091573670162928,0.05840417974000481,Critique,Critique,Faible,2025-07-15,IBC
Instrument,IF+AE,50.0,0.829838111611205,0.007054676451084606,Critique,Faible,Faible,2025-07-02,AFI
Instrument,IF+AE,49.9,0.7935145488542041,0.09043227926902217,Critique,Critique,Faible,2025-12-12,CAP
Instrument,IF+AE,49.9,0.8222873333831586,0.02386933404570619,Critique,Critique,Faible,2025-07-11,ZDJ
Instrument,IF+AE,49.8,0.8172560098335386,0.03116217646133334,Critique,Critique,Faible,2025-07-04,FBR
Instrument,IF+AE,49.7,0.8264424664664056,0.005799649319204702,Critique,Faible,Faible,2025-10-31,INV
Instrument,IF+AE,49.6,0.8215585183430568,0.011422510289891266,Critique,Modéré,Faible,2025-03-25,SNA
Instrument,IF+AE,49.6,0.73009300906622,0.22434102951047974,Critique,Critique,Faible,2025-07-10,MDP
Instrument,IF+AE,49.4,0.8060250260993289,0.04204465242978878,Critique,Critique,Faible,2025-08-07,FBR
Instrument,IF+AE,49.4,0.7601853575417752,0.14865268073991628,Critique,Critique,Faible,2025-07-09,INV
Instrument,IF+AE,49.4,0.8142077606595627,0.022450093284073953,Critique,Critique,Faible,2025-08-19,MUT
Instrument,IF+AE,49.3,0.8190843159489474,0.004393513868920436,Critique,Faible,Faible,2025-06-25,MDP
Instrument,IF+AE,49.3,0.7171861351925974,0.24511527632791522,Critique,Critique,Faible,2025-01-10,FBR
Instrument,IF+AE,49.3,0.8190868322545193,0.005560058399847957,Critique,Faible,Faible,2025-06-05,STR
Instrument,IF+AE,49.3,0.820700005129225,0.004205731483767723,Critique,Faible,Faible,2025-08-07,ATH
Instrument,IF+AE,49.3,0.8086690105434401,0.029206596153090285,Critique,Critique,Faible,2025-10-09,STR
Instrument,IF+AE,49.2,0.7997625990510855,0.04629312243360074,Critique,Critique,Faible,2025-07-01,IBC
Instrument,IF+AE,49.2,0.8155560488017801,0.008547903798832687,Critique,Faible,Faible,2025-07-04,INV
Instrument,IF+AE,49.1,0.8169832550286291,0.004146806686389535,Critique,Faible,Faible,2025-07-07,INV
Instrument,IF+AE,49.1,0.8065291307132876,0.026003160931137484,Critique,Critique,Faible,2025-07-01,FBR
Instrument,IF+AE,49.0,0.7936804000665285,0.05439137516438795,Critique,Critique,Faible,2025-04-25,SRM
Instrument,IF+AE,49.0,0.8110986618728864,0.01308437029006642,Critique,Modéré,Faible,2025-11-07,CMT
Instrument,IF+AE,48.9,0.8091548217229771,0.01542830961954674,Critique,Modéré,Faible,2025-07-08,IBC
Instrument,IF+AE,48.9,0.8118716228283639,0.0054936706925127685,Critique,Faible,Faible,2025-05-23,STR
Instrument,IF+AE,48.9,0.7744084108218181,0.09543498226225898,Critique,Critique,Faible,2025-07-02,MDP
Instrument,IF+AE,48.9,0.8043894003746831,0.02325995727326527,Critique,Critique,Faible,2025-07-10,ZDJ
Instrument,IF+AE,48.8,0.8117435207853927,0.00490406936001491,Critique,Faible,Faible,2025-07-04,MDP
Instrument,IF+AE,48.8,0.812156131634967,0.002861534366269364,Critique,Normal,Faible,2025-07-07,IBC
Instrument,IF+AE,48.8,0.812830145346938,0.0024619702366271007,Critique,Normal,Faible,2025-02-21,FBR
Instrument,IF+AE,48.7,0.7962792494882729,0.03601687662858091,Critique,Critique,Faible,2025-03-18,FBR
Instrument,IF+AE,48.7,0.8078712021289189,0.009257116097296795,Critique,Faible,Faible,2025-08-05,MDP
Instrument,IF+AE,48.5,0.8069007070828315,0.0022485661500950237,Critique,Normal,Faible,2025-09-12,NKL
Instrument,IF+AE,48.4,0.7442027017931488,0.14746182756647186,Critique,Critique,Faible,2025-08-04,STR
Instrument,IF+AE,48.4,0.803684855479139,0.008673226256410317,Critique,Faible,Faible,2025-03-20,FBR
Instrument,IF+AE,48.3,0.7841606383791422,0.04777733652711971,Critique,Critique,Faible,2025-07-16,IBC
Instrument,IF+AE,48.2,0.7639939376359298,0.09389876012136171,Critique,Critique,Faible,2025-08-05,STR
Instrument,IF+AE,48.2,0.7996062280178994,0.007853843558816048,Critique,Faible,Faible,2025-05-26,STR
Instrument,IF+AE,48.1,0.796953969525485,0.00922798232661342,Critique,Faible,Faible,2025-03-21,SID
Instrument,IF+AE,48.0,0.7969128045503749,0.007925437975461318,Critique,Faible,Faible,2025-08-07,SNA
Instrument,IF+AE,48.0,0.796035445546183,0.010660057616358068,Critique,Modéré,Faible,2025-06-30,IBC
Instrument,IF+AE,47.9,0.7785745948904725,0.04667390998842405,Critique,Critique,Faible,2025-08-08,FBR
Instrument,IF+AE,47.7,0.7874313531681498,0.01591658947229711,Critique,Modéré,Faible,2025-06-24,IBC
Instrument,IF+AE,47.6,0.7534760692602314,0.09268758947849183,Critique,Critique,Faible,2025-03-05,FBR
Instrument,IF+AE,47.5,0.7847659293252505,0.014399647054610018,Critique,Modéré,Faible,2025-09-11,NKL
Instrument,IF+AE,47.5,0.7840344180418612,0.017618310453841254,Critique,Modéré,Faible,2025-08-04,SNA
Instrument,IF+AE,47.4,0.7884278698113527,0.005277787400162044,Critique,Faible,Faible,2025-07-02,M2M
Instrument,IF+AE,47.4,0.7877276481799079,0.005073153345238807,Critique,Faible,Faible,2025-06-30,MDP
Instrument,IF+AE,47.4,0.7659774681558835,0.05617493640145938,Critique,Critique,Faible,2025-01-21,RDS
Instrument,IF+AE,47.4,0.7867728874147897,0.006232032972442987,Critique,Faible,Faible,2025-02-20,FBR
Instrument,IF+AE,47.3,0.76838980625553,0.044944945433692235,Critique,Critique,Faible,2025-07-09,CRS
Instrument,IF+AE,47.3,0.7831220302778701,0.011000787458671848,Critique,Modéré,Faible,2025-08-06,FBR
Instrument,IF+AE,47.2,0.7262946821069647,0.1418670937265799,Critique,Critique,Faible,2025-01-16,RDS
Instrument,IF+AE,47.2,0.7606923241741421,0.05989061869686005,Critique,Critique,Faible,2025-12-30,GTM
Instrument,IF+AE,47.2,0.7701612243725293,0.03798370758972439,Critique,Critique,Faible,2025-07-02,INV
Instrument,IF+AE,47.2,0.7807035787575641,0.014854884619614019,Critique,Modéré,Faible,2025-08-05,SNA
Instrument,IF+AE,47.2,0.7758942803812715,0.025142087836363163,Critique,Critique,Faible,2025-07-08,CRS
Instrument,IF+AE,47.2,0.7745118163563586,0.029564616412374303,Critique,Critique,Faible,2025-06-30,FBR
Instrument,IF+AE,47.0,0.7392872343307638,0.10134797579102145,Critique,Critique,Faible,2025-10-22,STR
Instrument,IF+AE,47.0,0.7811335637156511,0.0065981738924542985,Critique,Faible,Faible,2025-04-03,SNA
Instrument,IF+AE,47.0,0.7348884130052725,0.11194366731534175,Critique,Critique,Faible,2025-09-01,MDP
Instrument,IF+AE,47.0,0.7823840338257361,0.0024430891220750804,Critique,Normal,Faible,2025-05-22,STR
Instrument,IF+AE,46.9,0.7105857025739726,0.16551739906791316,Critique,Critique,Faible,2025-07-14,MDP
Instrument,IF+AE,46.9,0.7779708080941947,0.007704380082907793,Critique,Faible,Faible,2025-09-24,HPS
Instrument,IF+AE,46.9,0.7710949061562823,0.024906684741944865,Critique,Critique,Faible,2025-06-30,SRM
Instrument,IF+AE,46.8,0.773728460946697,0.015049572683244996,Critique,Modéré,Faible,2025-08-06,STR
Instrument,IF+AE,46.8,0.7593440108652086,0.04819795003767666,Critique,Critique,Faible,2025-03-21,SNA
